Interactions Report,,,,,,,,,
,From,,To,,,,,,
1544,E2F4,Transcription factor,Securin,Transcription factor,Inhibition,Transcription regulation,x,Using immunoprecipitation of cross-linked protein-DNA complexes there were shown the binding sites of Securin for E2F4.,11799067;17043659;17908821
1545,C/EBPbeta,Transcription factor,SLC7A6,Transporter,Activation,Transcription regulation,x,SLC7A6 is a potential C/EBPbeta target gene.,22722334
1546,SETDB2,Generic enzyme,TSLC1,Generic binding protein,Inhibition,Transcription regulation,x,SETDB2 co-inhibits transcription of TSLC1.,27572307
1547,STAT3,Transcription factor,EED,Generic binding protein,Activation,Transcription regulation,x,These results suggest that STAT3 and Oct-3/4 maintain silencing of differentiation-associated genes through upregulation of Eed in self-renewing ES cells.,18201968;21540835;24457600;27622053
1548,ATF-3,Transcription factor,NOXA,Generic binding protein,Activation,Transcription regulation,x,ATF3 and ATF4 form a complex to activate the NOXA promoter.,19164757;20349223;20571063;24991768;29764852;30660647;30796196;32648994
1549,EGR1,Transcription factor,PLC-beta1,Generic phospholipase,Activation,Transcription regulation,x,EGR1 activates transcription of PLC-beta1.,25192965
1550,p53,Transcription factor,ID3,Transcription factor,Activation,Transcription regulation,x,p53 activates transcription of ID3.,11571296;15220520;16557594;18474530;25043190;37543282;38513475
1551,PER2,Transcription factor,HDAC2,Generic enzyme,Activation,Binding,x,PER2 binds to and activates HDAC2.,30429219
1552,p27KIP1,Generic binding protein,CalDAG-GEFIII,"Regulators (GDI, GAP, GEF)",Inhibition,Transcription regulation,x,p27KIP1 co-inhibits transcription of CalDAG-GEFIII.,29155860
1553,SFRS3,Generic binding protein,YMER,Generic binding protein,Activation,Binding,x,SFRS3 binds to and activates YMER.,30028541
1554,PSD-95,Generic binding protein,Semaphorin 4C,Generic receptor,Activation,Binding,x,The cytoplasmic domain of S4C interacts with the two amino-terminal PDZ domains of PSD-95.,11134026;15978582
1555,RelA (p65 NF-kB subunit),Transcription factor,NMNA3,Generic enzyme,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of NMNA3.,28579529
1556,c-Fos,Transcription factor,IRS-2,Generic binding protein,Activation,Transcription regulation,x,C-Fos binds to gene IRS-2 promoter and activates IRS-2 expression.,17108143
1557,eIF2C2 (Argonaute-2),Generic enzyme,CD47,Generic receptor,Inhibition,Binding,x,eIF2C2 (Argonaute-2) binds to and inhibits CD47.,35325613
1558,UBC3B,Generic enzyme,beta-TrCP,Generic binding protein,Activation,Binding,x,UBC3B binds to and activates beta-TrCP.,12037680;33961781
1559,hASH1,Transcription factor,Raftlin,Protein,Inhibition,Transcription regulation,x,hASH1 inhibits transcription of Raftlin.,34466783
1560,PLCL1,Generic phospholipase,GABA-A receptor beta-3 subunit,Ligand-gated ion channel,Inhibition,Binding,x,PLCL1 regulates recruitment of PP2A to GABA-A receptor beta-subunits.,16754670;17254016;17301177
1561,PLCL2,Generic phospholipase,GABA-A receptor beta-3 subunit,Ligand-gated ion channel,Inhibition,Binding,x,PLCL2 regulates recruitment of PP2A to GABA-A receptor beta-subunits.,16754670
1562,CABIN1,Generic binding protein,p53,Transcription factor,Inhibition,Binding,x,"Cabin1 physically interacts with p53 on  target promoters and represses p53 transcriptional activity in the absence of genotoxic stress, by regulating histone modification and p53 acetylation marks.",19668210;20379196;38580884
1563,YY1,Transcription factor,NOR1,Transcription factor,Activation,Transcription regulation,x,YY1 binds to and activates the gene NOR1 promoter.,22570637;26503783
1564,RelA (p65 NF-kB subunit),Transcription factor,C15orf27,Generic channel,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of C15orf27.,28579529
1565,CBP,Generic enzyme,COMP,Generic binding protein,Activation,Transcription regulation,x,"Sox9 directly associates with COMP gene promoter and that mediation of COMP gene activation by Sox9 involves Sox5, Sox6, CBP, and p300 coactivators.",17485346
1566,PML,Generic binding protein,FKHR,Transcription factor,Inhibition,Binding,x,PML physically interacts with  FKHR and decreases its activity.,16154098
1567,SMAD1,Transcription factor,DLX5,Transcription factor,Activation,Transcription regulation,x,Smad1 increases Dlx5 expression.,19617624;20339443;20878775;24692107
1568,SDOS,Generic enzyme,Jouberin,Generic binding protein,Activation,Binding,x,SDOS binds to and activates Jouberin.,30260431
1569,NCOA1 (SRC1),Generic enzyme,ARG2,Generic enzyme,Inhibition,Transcription regulation,x,NCOA1 (SRC1) co-inhibits transcription of ARG2.,29567811
1570,PDE6D,Generic enzyme,FBXO10,Generic binding protein,Activation,Binding,x,PDE6D binds to and activates FBXO10.,23150559;39306844
1571,RFWD3,Generic binding protein,LRWD1,Generic binding protein,Activation,Binding,x,RFWD3 ubiquitinates and induces stabilization of LRWD1.,33044890
1572,Beta-arrestin2,Generic binding protein,NEDD4L,Generic enzyme,Activation,Binding,x,Beta-arrestin2 binds to and activates NEDD4L.,25589675
1573,c-Fos,Transcription factor,NANOG,Transcription factor,Activation,Transcription regulation,x,c-Fos activates transcription of NANOG.,24489122;38233377
1574,K-RAS,RAS - superfamily,RGL2,"Regulators (GDI, GAP, GEF)",Activation,Binding,x,K-RAS interacts with RGL2.,15102471;15143186;17344481;21988832
1575,c-Jun,Transcription factor,DMTF1,Transcription factor,Activation,Transcription regulation,x,c-Jun activates transcription of DMTF1.,15601844
1576,TIF1-beta,Generic enzyme,ID3,Transcription factor,Activation,Transcription regulation,x,TIF1-beta co-activates transcription of ID3.,32402252
1577,BAT2,Generic binding protein,WNK1,Protein kinase,Activation,Binding,x,BAT2 binds to and activates WNK1.,36964127
1578,TD-60,Protein,BACH1,Transcription factor,Activation,Binding,x,TD-60 binds to and activates BACH1.,36116740
1579,NOTCH4 (ICD4),Generic binding protein,Rab-11A,RAS - superfamily,Activation,Transcription regulation,x,NOTCH4 (ICD4) co-activates transcription of Rab-11A.,32960812
1580,GABP alpha,Transcription factor,SENP2,Generic protease,Activation,Transcription regulation,x,GABP alpha activates transcription of SENP2.,20019798;39145452
1581,MeCP2,Generic binding protein,MEF2C,Transcription factor,Inhibition,Transcription regulation,x,"the loss of phosphorylation appears to enhance the binding of MeCP2 to its target gene promoters (Bdnf, Bmp4, Mef2c and Grm1).",18511691;21731748;21765426
1582,BRG1,Generic enzyme,MEF2C,Transcription factor,Activation,Transcription regulation,x,BRG1 co-activates transcription of MEF2C.,26136374;31024170
1583,PROX1,Transcription factor,ELOVL6,Generic enzyme,Inhibition,Transcription regulation,x,PROX1 inhibits transcription of ELOVL6.,28916805
1584,hASH1,Transcription factor,Tubulin beta 2C,Generic binding protein,Activation,Transcription regulation,x,hASH1 activates transcription of Tubulin beta 2C.,21536733;34466783;38060444
1585,C/EBPdelta,Transcription factor,DT3UO,Generic binding protein,Activation,Transcription regulation,x,C/EBPdelta activates transcription of DT3UO.,20971808;26174226
1586,GLI-2,Transcription factor,IRS-1,Generic binding protein,Activation,Transcription regulation,x,GLI-2 activates transcription of IRS-1.,20857406;38775809
1587,Kaiso,Transcription factor,DLGAP1 (GKAP),Generic binding protein,Inhibition,Transcription regulation,x,Kaiso co-inhibits transcription of DLGAP1 (GKAP).,30552232
1588,E4BP4,Transcription factor,GAT1,Transporter,Activation,Transcription regulation,x,E4BP4 activates transcription of GAT1.,33619249
1589,c-Rel (NF-kB subunit),Transcription factor,Roquin,Generic binding protein,Activation,Transcription regulation,x,c-Rel (NF-kB subunit) activates transcription of Roquin.,25062971
1590,TCF7L2 (TCF4),Transcription factor,IRS-1,Generic binding protein,Activation,Transcription regulation,x,TCF7L2 (TCF4) probably regulates transcription of IRS-1.,18268006;20634317;21901280;24317852;25469308;27708333;31888886;33336396
1591,PIPKI gamma,Generic kinase,ATP1A1,Generic channel,Inhibition,Binding,x,ATP1A1 binds to PIPKI gamma. This binding is described as a part of the mechanism of AGEs acting. AGEs reduse surface expression and activity of ATP1A1.,20435073
1592,VDR,Transcription factor,HSD11B1,Generic enzyme,Activation,Transcription regulation,x,VDR increases HSD11B1 mRNA expression.,15897475;23401126
1593,STAT1,Transcription factor,ARG2,Generic enzyme,Activation,Transcription regulation,x,STAT1 activates transcription of ARG2.,27406916
1594,MeCP2,Generic binding protein,CoREST,Generic binding protein,Inhibition,Transcription regulation,x,"MeCP2 deficiency in human and mouse brain causes an increase in expression of two neuronal gene transcriptional repressors REST (RE1 silencing transcription factor), and CoREST. MeCP2 binds to and is involved in repression of Rest and CoRest promoters.",12399542;18075316
1595,PHAP1 (pp32),Generic binding protein,STAT1,Transcription factor,Activation,Binding,x,pp32 interacted with signal transducer and activator of transcription 1 (STAT1) and STAT2 in an IFN-dependent manner.,21325029
1596,Midn,Generic binding protein,EGR1,Transcription factor,Inhibition,Binding,x,Midn binds to and inhibits EGR1.,37616343;39264361
1597,Elk-1,Transcription factor,p21,Generic binding protein,Activation,Transcription regulation,x,Elk-1 binds to p21 gene promoter and enhances p21 transcription.,21642427
1598,p21,Generic binding protein,CDK14,Protein kinase,Inhibition,Binding,x,P21 physically interacts with  PFTAIRE-1 and decreases its activity.,17517622;26186194;28514442;33961781
1599,KLF5,Transcription factor,LIPM,Generic enzyme,Activation,Transcription regulation,x,KLF5 activates transcription of LIPM.,36008138
1600,JMJD2A,Generic enzyme,ZCCHC2,Generic binding protein,Activation,Transcription regulation,x,JMJD2A co-activates transcription of ZCCHC2.,23603248;34083515;39003305
1601,SRF,Transcription factor,PARN,Generic enzyme,Activation,Transcription regulation,x,"PARN gene was identified as SRF transcription target by chromatin immunoprecipitation in combination with human promoter microarrays and quantitative PCR validation. Jurkat (TIB-152), BE(2)-C (CRL-2268) and T/G HA-VSMC (CRL-1999) cell lines were used.",17200232
1602,SRF,Transcription factor,IPO4,Transporter,Inhibition,Transcription regulation,x,SRF inhibits transcription of IPO4.,23151848
1603,UTX,Generic enzyme,BRG1,Generic enzyme,Activation,Binding,x,UTX binds to and activates BRG1.,21095589;22192413;29736013;30718900;33712604
1604,AML1 (RUNX1),Transcription factor,p53,Transcription factor,Activation,Binding,x,AML1 (RUNX1) binds to and activates p53.,23148227;29052866;29192243;31257681
1605,Calpain 1(mu),Generic protease,PDIA3,Generic enzyme,Activation,Binding,x,Calpain 1 binds to PDIA3. PDIA3-associated mitochondrial calpain 1 cleaves AIF(apoptosis inducing factor) to a truncated form.,18559257
1606,PPP2R5A,Protein phosphatase,ZO-1,Generic binding protein,Inhibition,Binding,x,"Large amounts of ZO-1, occludin, and claudin-1 were detected in the immunoprecipitates prepared from MDCK cell, expressing PPP2R5A.",12196510
1607,NQO1,Generic enzyme,p53,Transcription factor,Activation,Binding,x,NQO1 physically interacts with p53 and functions to stabilize p53 through its proteasomal gatekeeper activity,12529318;15687255;16061648;20361926;21821009;21979946;26078718;26540344;35396498
1608,NANOG,Transcription factor,TAJ(TNFRSF19),Generic receptor,Inhibition,Transcription regulation,x,"Probably, TAJ(TNFRSF19) is one of the Nanog genomic targets in murine ES cells.",18700969;19796622;19884255;33915080
1609,BAHD1,Generic binding protein,HDAC2,Generic enzyme,Activation,Binding,x,BAHD1 binds to and activates HDAC2.,21252314;33156908;33823544
1610,DOT1,Generic enzyme,ABCC1,Transporter,Activation,Transcription regulation,x,DOT1 co-activates transcription of ABCC1.,29712898
1611,WWP1,Generic enzyme,SMAD7,Transcription factor,Activation,Binding,x,Tiul1 associates with Smad7 to induce the degradation of TbetaRI.,15221015;15359284;21269274;22773947
1612,Elk-1,Transcription factor,CHMP5,Generic binding protein,Activation,Transcription regulation,x,CHMP5 gene promoter  contains putative binding sites for Elk-1. Elk-1 can induce C14orf119 expression as determinated by luciferase reporter assays.,19687146
1613,Polycystin,Generic channel,G-protein alpha-12,G-alpha,Activation,Binding,x,Polycystin C-terminus is necessary for G alpha-12 interaction.,20837139
1614,KLF4,Transcription factor,FKHR,Transcription factor,Inhibition,Transcription regulation,x,KLF4 inhibits transcription of FKHR.,27835585;32467224
1615,PR (nuclear),Transcription factor,c-Fos,Transcription factor,Activation,Transcription regulation,x,FOS is activated by Progesterone receptor.,19299443;23177737
1616,Esrra,Transcription factor,ELOVL6,Generic enzyme,Activation,Transcription regulation,x,Esrra activates transcription of ELOVL6.,29635284;32079653;35264626
1617,STIM1,Generic binding protein,TRPC5,Voltage-gated ion channel,Activation,Binding,x,STIM1 binds to and activates TRPC5.,17486119;24464579
1618,RelA (p65 NF-kB subunit),Transcription factor,SLICK,Generic channel,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of SLICK.,26100633
1619,PLC-gamma 1,Generic phospholipase,TRPM7,Generic channel,Inhibition,Binding,x,PLC-gamma 1 interacts with TRPM7.,11941371;15843919;15902429
1620,MEF2A,Transcription factor,FBXO44,Generic binding protein,Inhibition,Transcription regulation,x,MEF2A inhibits transcription of FBXO44.,29054930
1621,EKLF1,Transcription factor,c-Myb,Transcription factor,Activation,Transcription regulation,x,EKLF1 activates transcription of c-Myb.,24614105
1622,hASH1,Transcription factor,ID1,Transcription factor,Activation,Transcription regulation,x,"Ascl1 binds and activates Cdca7, E2f1, FoxM1, and Id1 promoters.",19130216;21536733;32075759;32788677;34466783
1623,VDR,Transcription factor,RARgamma,Transcription factor,Inhibition,Binding,x,VDR binds to and inhibits RARgamma.,20420906
1624,Bcl-6,Transcription factor,GLI-2,Transcription factor,Inhibition,Transcription regulation,x,Bcl-6 inhibits transcription of GLI-2.,25490446
1625,AMPK alpha 1 subunit,Protein kinase,p53,Transcription factor,Activation,Binding,x,AMPK alpha 1 subunit binds to and activates p53.,15866171;24005536;26231043;39261583
1626,SOX2,Transcription factor,PYGB,Generic enzyme,Activation,Transcription regulation,x,SOX2 activates transcription of PYGB.,24590290
1627,IMP2,Generic binding protein,CGI-55,Generic binding protein,Activation,Binding,x,IMP2 binds to and activates CGI-55.,30247605
1628,SPOP,Generic binding protein,Androgen receptor,Transcription factor,Inhibition,Binding,x,SPOP can interact with AR.,19762545;25274033;29572225
1629,Reticulon-2,Generic binding protein,BACE1,Generic protease,Inhibition,Binding,x,"RTN2 interacts with BACE1  through the RTN C-terminus,  that negatively modulates BACE1 activity.",15286784;16505974;17241154;18695942
